iter	Accuracy	MultiClass
0	0.6336504301	1.048194402
1	0.6333990282	1.00727116
2	0.6399886961	0.9718359822
3	0.641643912	0.9418971261
4	0.6477876626	0.9119523635
5	0.6457232303	0.8905132913
6	0.6490465075	0.8680256022
7	0.6514265686	0.8509253359
8	0.6531753721	0.8352246974
9	0.6566252679	0.8185495322
10	0.6599724008	0.807189936
11	0.6649765847	0.7917326138
12	0.6680264394	0.7791232907
13	0.6748069526	0.764782941
14	0.6787871781	0.753072334
15	0.6828132799	0.7412857445
16	0.6874376083	0.7282711045
17	0.6905828856	0.7181774641
18	0.6927721014	0.7102102464
19	0.6953815438	0.7020877948
20	0.6971376875	0.6939830629
21	0.6995140785	0.686068775
22	0.7023473972	0.6780250585
23	0.704646716	0.6709220351
24	0.706518468	0.6646876789
25	0.7089719311	0.6572143766
26	0.7110528788	0.650834822
27	0.7131099709	0.6462217333
28	0.7145303004	0.6410191919
29	0.7162644235	0.6351841313
30	0.7180260724	0.6306559137
31	0.7195877008	0.6269397635
32	0.7202061129	0.6240005854
33	0.7216576382	0.6203645466
34	0.7224008338	0.6166308488
35	0.7241936786	0.6122189275
36	0.725217637	0.6104234449
37	0.7267884406	0.606925207
38	0.7281904196	0.602867852
39	0.7288748936	0.6007334584
40	0.730403491	0.5988323456
41	0.7318990575	0.5963191287
42	0.7330845004	0.5935046766
43	0.7339965207	0.5919432203
44	0.7351269121	0.5895943551
45	0.7364995302	0.5880597938
46	0.7376317567	0.5849579842
47	0.7388006841	0.5832380827
48	0.7401366012	0.5820166843
49	0.7410761473	0.5796397772
50	0.7423074665	0.5775837173
51	0.7431332394	0.574632554
52	0.7437222907	0.5735397812
53	0.7450196717	0.5717673513
54	0.7458362694	0.5695697631
55	0.7464968878	0.5687023575
56	0.747405238	0.5664130741
57	0.7486420623	0.5652936357
58	0.7496109692	0.5635456923
59	0.7505688658	0.5625443853
60	0.751730453	0.5602782694
61	0.7525158548	0.5586440419
62	0.7533342876	0.5571036886
63	0.7537563493	0.5558744912
64	0.7543123697	0.5550659219
65	0.7552078746	0.5534756209
66	0.7562795443	0.5517208534
67	0.7571603688	0.5508722571
68	0.7581127602	0.5498410158
69	0.7582669045	0.5491472518
70	0.7587238322	0.547756914
71	0.759259667	0.5466801405
72	0.7598505535	0.545316755
73	0.7604726357	0.5439812967
74	0.7608708418	0.542909971
75	0.761384656	0.5420654462
76	0.7622452949	0.5410185496
77	0.7627609442	0.5397083806
78	0.763546346	0.5385154828
79	0.7643666138	0.5377627105
80	0.7644987375	0.5366870839
81	0.7647556446	0.5355152892
82	0.7653648815	0.5349584659
83	0.7661576235	0.5340911176
84	0.7672861799	0.5327561754
85	0.7673320561	0.5321601279
86	0.767939458	0.5311636953
87	0.7685468599	0.5295841752
88	0.7690478288	0.5289958693
89	0.7693671276	0.5279412311
90	0.7700240759	0.5272089311
91	0.7708370034	0.5263047671
92	0.7712976012	0.5257830965
93	0.7718352711	0.5249487791
94	0.7730500749	0.5236110843
95	0.7741749611	0.5225412497
96	0.7747878681	0.5219817312
97	0.7749713732	0.5213407249
98	0.7755127132	0.5204110996
99	0.7757989812	0.5196662409
100	0.7762485687	0.518985093
101	0.7767477025	0.5183389257
102	0.7771275581	0.517425529
103	0.7775698053	0.5165066846
104	0.7778615784	0.5160135147
105	0.7782707948	0.5150070466
106	0.7787589183	0.5137149987
107	0.7791461141	0.5129596459
108	0.7796268974	0.5123215069
109	0.780223289	0.5117741456
110	0.7805168971	0.5108034037
111	0.7811995361	0.5099593949
112	0.7817885875	0.5090404932
113	0.7820032884	0.5086389611
114	0.7826914325	0.5078867049
115	0.7833465457	0.5071488997
116	0.7837135559	0.5063895327
117	0.7842512258	0.505517138
118	0.7845962154	0.5049845145
119	0.7847815555	0.5045226551
120	0.7849210194	0.5038759143
121	0.7852733492	0.5035514544
122	0.7857229367	0.5027577948
123	0.7862165654	0.5019749736
124	0.7868569982	0.5013742811
125	0.7871524414	0.5006214515
126	0.7873744825	0.5001086121
127	0.7880075751	0.499418805
128	0.7881286885	0.4990325841
129	0.788653513	0.4986498039
130	0.7888975748	0.4982885856
131	0.7893600076	0.4974558166
132	0.7899784198	0.4966966216
133	0.7902591826	0.4962280528
134	0.7908005226	0.495679946
135	0.7910243988	0.4951914784
136	0.791497842	0.4946247917
137	0.7917675945	0.4939507546
138	0.7922703984	0.4933970853
139	0.7926465839	0.4930691273
140	0.7928814704	0.4925692479
141	0.793156728	0.4919252598
142	0.79340813	0.4914121336
143	0.7936209959	0.4908301931
144	0.7939751608	0.4903531945
145	0.7944651194	0.490016176
146	0.7945311812	0.4892630596
147	0.7949697584	0.4886668401
148	0.7952633665	0.4882847481
149	0.7956579025	0.4877883094
150	0.79592949	0.4873372883
151	0.7961478611	0.4869867936
152	0.7963643971	0.4866891713
153	0.7965534073	0.486302549
154	0.7971406236	0.4856667038
155	0.7974489122	0.4852126434
156	0.7980599841	0.4847633427
157	0.7981113656	0.4842056019
158	0.7983040459	0.4837655911
159	0.7986912417	0.483068329
160	0.7988802519	0.4824183196
161	0.7991922106	0.4821253996
162	0.7993280043	0.4817920511
163	0.7996014269	0.4813158554
164	0.7997537362	0.4807398214
165	0.8001556123	0.4801453509
166	0.8005886843	0.479661557
167	0.8007997152	0.4792405275
168	0.8011942512	0.4787969326
169	0.8015465809	0.4783012681
170	0.8017227458	0.4777069697
171	0.8019190963	0.4774403138
172	0.8019741478	0.4769817518
173	0.8022897766	0.4764552069
174	0.8027889104	0.4758465434
175	0.8034403535	0.4753236399
176	0.8037431369	0.4748721027
177	0.8043670542	0.4743429772
178	0.8045358789	0.4739916223
179	0.8047322294	0.4736247555
180	0.8050478581	0.4731694048
181	0.8053891776	0.4727511852
