iter	Passed	Remaining
0	21	21482
1	41	20785
2	61	20320
3	80	20151
4	101	20150
5	123	20537
6	145	20574
7	165	20513
8	184	20300
9	203	20109
10	220	19830
11	239	19678
12	257	19566
13	278	19644
14	298	19570
15	319	19631
16	342	19823
17	364	19869
18	383	19817
19	405	19881
20	424	19805
21	445	19791
22	466	19795
23	485	19752
24	505	19723
25	526	19706
26	547	19718
27	566	19660
28	584	19562
29	604	19549
30	623	19497
31	643	19460
32	661	19398
33	680	19339
34	697	19220
35	717	19209
36	735	19131
37	755	19122
38	776	19136
39	795	19082
40	812	19008
41	832	18990
42	852	18968
43	869	18896
44	890	18901
45	909	18856
46	929	18851
47	948	18818
48	966	18755
49	986	18748
50	1006	18733
51	1027	18737
52	1044	18655
53	1063	18635
54	1083	18614
55	1100	18555
56	1119	18525
57	1137	18477
58	1156	18440
59	1174	18406
60	1193	18376
61	1216	18398
62	1234	18359
63	1253	18333
64	1270	18282
65	1292	18284
66	1313	18295
67	1332	18263
68	1353	18257
69	1371	18220
70	1390	18187
71	1407	18140
72	1425	18101
73	1445	18087
74	1464	18058
75	1482	18023
76	1500	17991
77	1523	18008
78	1544	18000
79	1561	17954
80	1581	17938
81	1598	17896
82	1616	17856
83	1637	17856
84	1656	17837
85	1677	17824
86	1695	17795
87	1714	17773
88	1733	17738
89	1752	17722
90	1772	17708
91	1795	17717
92	1815	17706
93	1840	17743
94	1858	17706
95	1876	17674
96	1896	17652
97	1917	17647
98	1937	17634
99	1958	17627
100	1978	17608
101	1998	17598
102	2017	17573
103	2039	17567
104	2055	17518
105	2075	17508
106	2093	17472
107	2114	17466
108	2136	17462
109	2155	17438
110	2175	17422
111	2194	17397
112	2211	17360
113	2230	17335
114	2248	17305
115	2271	17310
116	2289	17279
117	2309	17262
118	2329	17247
119	2350	17234
120	2369	17213
121	2386	17175
122	2406	17156
123	2430	17167
124	2449	17145
125	2469	17129
126	2491	17123
127	2509	17095
128	2527	17063
129	2546	17039
130	2563	17003
131	2579	16959
132	2597	16931
133	2616	16907
134	2642	16931
135	2658	16892
136	2678	16874
137	2698	16857
138	2717	16835
139	2735	16804
140	2755	16789
141	2777	16782
142	2799	16779
143	2819	16761
144	2839	16743
145	2859	16723
146	2879	16710
147	2897	16681
148	2918	16667
149	2938	16649
150	2958	16634
151	2976	16608
152	2994	16576
153	3013	16555
154	3034	16542
155	3056	16535
156	3077	16522
157	3102	16535
158	3121	16511
159	3141	16495
160	3162	16479
161	3180	16450
162	3197	16421
163	3218	16404
164	3236	16376
165	3256	16362
166	3277	16348
167	3294	16316
168	3313	16295
169	3331	16264
170	3350	16242
171	3367	16209
172	3387	16194
173	3408	16181
